"COD_DANE12","COLEGIO_SE","X","Y","P_Puntaje_2021","EVALUADOS_2021","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Categoria","Thombre_aprob","Tmujer_aprob","Thombre","Tmujer","ESTRATO","DENSITY","P_Puntaje_2019","EVALUADOS_2019","P_Puntaje_2020","EVALUADOS_2020","P_Puntaje_2022","EVALUADOS_2022"
311001077541,"COLEGIO CRISTIANO DE COLOMBIA",-8251858.6815,510163.289099999,276.9230769,40,1,1,5,18,13,1,2,86.13,88.07,1.35,1.34,3,219.024920058,268.0769231,19,274.2307692,38,264.6153846,21
311001078203,"COLEGIO SAN MARINO",-8249608.673,501090.0385,234.6153846,15,1,1,5,5,15,1,4,90.04,92.42,1.03,0.81,1,249.869014788,215.7692308,7,237.3076923,4,261.5384615,7
311001078734,"INSTITUTO TECNICO COLOMBO SUECO",-8240400.1834,528671.654599998,276.5384615,115,1,1,5,1,11,1,2,90.44,92.7,0.94,0.63,1,264.024478433,265,123,270.7692308,107,283.8461538,113
311001079862,"LICEO EL ENCANTO",-8247570.1939,506813.785300002,253.8461538,8,1,1,5,4,13,1,3,86.73,89.65,1.45,0.98,2,265.121012922,255.3846154,15,238.0769231,20,252.6923077,18
311001079901,"COLEGIO LORENZO DE ALCANTUZ",-8247982.499,506771.311500002,260.3846154,106,1,1,5,4,15,1,3,86.73,89.65,1.45,0.98,2,265.121012922,252.3076923,94,265.3846154,107,262.3076923,110
311001086991,"COLEGIO SANTA MARIA DE LA PAZ",-8250913.8295,503405.262699999,250.7692308,18,1,1,5,5,15,1,2,88.12,90.7,1.22,0.92,2,257.824482571,261.5384615,28,268.8461538,21,266.9230769,11
311001087008,"COLEGIO DE FORMACION INTEGRAL VIRGEN DE LA PEÑA",-8251627.4598,524553.021499999,257.3076923,76,1,1,5,10,15,1,2,88.37,90.06,0.65,0.54,2,268.783871617,260,139,266.9230769,104,279.2307692,62
311001087121,"COLEGIO PARROQUIAL DE LOS SANTOS APOSTOLES",-8257258.7076,513883.188099999,275.7692308,58,1,1,5,8,3,1,2,89.77,90.93,0.77,0.34,3,342.204666539,287.3076923,63,263.0769231,57,286.9230769,50
311001087148,"COLEGIO REMBRANDT",-8253517.4744,525475.129500002,262.6923077,52,1,1,5,10,15,1,2,92.34,94.37,1.38,0.86,2,222.634971795,265.7692308,67,272.3076923,54,271.1538462,60
311001087253,"GIMNASIO LA CIMA",-8249056.495,529044.995700002,273.0769231,12,1,1,5,11,15,1,2,89.36,91.61,2.38,1.86,3,425.30735871,298.4615385,28,283.8461538,18,301.1538462,24
311001087288,"GIMNASIO LA MONTAÑA",-8242514.8151,534222.974,344.2307692,47,1,3,5,11,5,1,1,0,0,0,0,7,1.36889875031,363.4615385,44,360,45,350.3846154,48
311001087547,"COLEGIO NAVAL SANTA FE DE BOGOTA",-8247461.7698,520626.195,317.6923077,26,2,1,5,12,10,0,1,84.04,87.83,1.53,1.41,4,293.179189433,307.3076923,28,305.7692308,30,300.7692308,25
