X,Y,P_Puntaje_,EVALUADOS,P_Lectura,P_Matemati,P_Sociales,P_Ciencias,P_Ingles,Sector,CALENDARIO,GENERO,COD_LOCA,CLASE_TIPO,Categoria
-74.0229686596618,4.741084689289082,306.5384615,26,66,59,57,60,71,1,1,5,1,4,1
-74.04976916044329,4.7170420270542,321.9230769,48,66,67,61,61,72,1,1,5,1,4,1
-74.0255901403919,4.728708623656359,267.3076923,33,56,55,50,53,53,1,1,5,1,4,2
-74.04653150010697,4.734236580047661,312.6923077,58,64,63,60,60,72,1,1,1,1,4,1
-74.03846603022743,4.749559755085967,336.9230769,107,67,68,64,65,84,1,3,5,1,4,1
-74.03043046975525,4.769851358828988,329.2307692,110,67,66,63,63,79,1,1,5,1,4,1
-74.04904474013354,4.689974098929842,313.0769231,55,65,62,61,60,70,1,1,5,1,4,1
-74.02873000024492,4.707489616931906,336.9230769,42,67,67,65,65,84,1,3,1,1,4,1
-74.0349735995917,4.723774828008454,308.8461538,15,63,62,58,60,74,1,1,5,1,4,1
-74.03284039004943,4.76266948207146,341.9230769,91,67,71,66,64,85,1,3,1,1,4,1
-74.05093631005091,4.709756150685281,316.9230769,76,65,64,61,61,71,1,1,5,1,4,1
-74.04392640015607,4.735146107358506,340.3846154,121,67,70,66,64,84,1,3,5,1,4,1
-74.0514756298014,4.707325373304,343.4615385,76,70,68,69,64,80,1,3,5,1,4,1
-74.03370314013314,4.748788203747784,327.6923077,121,65,67,63,64,75,1,1,5,1,4,1
-74.04182357972155,4.732368266818295,370.7692308,55,72,77,73,70,88,1,3,1,1,4,1
-74.02248051962798,4.7446439520747425,301.1538462,36,63,61,57,58,66,1,1,1,1,4,1
-74.03174656991845,4.7695398214318505,368.4615385,95,73,77,71,70,85,1,3,3,1,4,1
-74.04111681040884,4.749811042687013,320.3846154,51,65,64,63,61,74,1,1,1,1,4,1
-74.0242271903917,4.753398973922138,329.2307692,46,67,66,63,63,79,1,1,5,1,4,1
-74.02394488044061,4.751824985565371,310,17,62,62,61,60,71,1,1,5,1,4,1
-74.04440045999611,4.736510026345096,348.4615385,91,68,74,67,67,78,1,1,5,1,4,1
-74.03262164039629,4.763095999274158,285.3846154,70,60,57,54,56,61,1,1,5,1,4,2
-74.04106091004533,4.75320375562705,308.4615385,75,63,64,59,59,67,1,1,5,1,4,1
-74.03561441010467,4.760327893064416,283.0769231,27,59,58,54,55,58,1,1,5,1,4,2
-74.04308962036723,4.755656546580569,311.5384615,44,63,64,60,60,69,1,1,5,1,4,1
-74.03805591965582,4.76551914142886,263.0769231,49,54,54,50,51,57,1,1,5,1,4,2
-74.02956340955483,4.744558522290887,300.3846154,48,62,60,59,57,67,1,1,1,1,4,1
-74.06125392012814,4.654354759791659,254.2307692,41,55,50,49,49,52,2,1,5,2,1,3
-74.05865768026088,4.6308582608649225,231.5384615,20,48,48,43,46,47,2,1,5,2,1,5
-74.0215162500357,4.670183454804117,228.1326644,69,49,47,42,45,46,2,1,5,2,1,4
-74.05536194024819,4.658511189014137,343.0769231,79,68,70,67,65,82,1,1,3,2,4,1
-74.05232554026475,4.647625880699016,334.6153846,40,67,68,65,65,75,1,1,1,2,4,1
-74.05266251988739,4.649837905435671,326.9230769,56,66,67,61,64,76,1,1,5,2,4,1
-74.05427807973876,4.665466051393235,314.6153846,13,63,61,61,61,80,1,1,1,2,4,1
-74.04940807003842,4.664552770305395,327.3076923,50,65,67,64,63,74,1,1,3,2,4,1
-74.05876866980918,4.649583669183357,308.4615385,90,64,62,60,57,73,1,1,5,2,4,1
-74.04671544004287,4.6680145767305135,338.8461538,96,68,68,67,63,83,1,3,5,2,4,1
-74.05017086008888,4.64704431182253,326.9230769,72,63,68,62,62,85,1,3,5,2,4,1
-74.06135442993033,4.657602783014726,298.8461538,21,61,61,56,58,69,1,1,5,2,4,1
-74.06015630012351,4.655337189609912,246.1538462,25,52,48,48,48,52,1,1,5,2,4,3
-74.05136381020979,4.64805599432855,257.6923077,24,54,49,48,53,58,1,1,5,2,4,2
-74.06227925000691,4.632008233151063,258.4615385,83,54,51,50,50,57,1,1,5,2,4,3
-74.06784351997963,4.614644135744595,239.6153846,81,52,47,46,47,47,2,1,5,3,1,3
